E	A
735	91.11
736	91.25
737	91.12
738	91.17
739	91.23
740	91.11
741	91.27
742	91.2
743	91.11
744	91.21
745	91.15
746	91.21
747	91.36
748	91.27
749	91.12
750	91.16
751	91.21
752	91.12
753	91.12
754	91.12
755	91.24
756	91.17
757	91.18
758	91.21
759	91.12
760	91.1
761	91.23
762	91.23
763	91.18
764	91.2
765	91.13
766	91.14
767	91.23
768	91.18
769	91.19
770	91.18
771	91.2
772	91.22
773	91.16
774	91.15
775	91.22
776	91.03
777	91.31
778	91.17
779	91.12
780	91.11
781	91.26
782	91.22
783	91.1
784	91.24
785	91.25
786	91.18
787	91.04
788	91.06
789	91.41
790	91.22
791	91.18
792	91.18
793	91.35
794	91.13
795	91.19
796	91.09
797	91.28
798	91.15
799	91.23
800	91.14
801	91.09
802	91.16
803	91.24
804	91.14
805	91.14
806	91.31
807	91.25
808	91.24
809	91.24
810	91.21
811	91.16
812	91.11
813	91.13
814	91.17
815	91.24
816	91.15
817	91.09
818	91.19
819	91.2
820	91.26
821	91.25
822	91.1
823	91.19
824	91.14
825	91.13
826	91.2
827	91.13
828	91.3
829	91.2
830	91.22
831	91.22
832	91.23
833	91.11
834	91.07
835	91.23
836	91.18
837	91.14
838	91.23
839	91.19
840	91.3
841	91.02
842	91.24
843	91.22
844	91.14
845	91.16
846	91.13
847	91.13
848	91.19
849	91.08
850	91.13
851	91.15
852	91.19
853	91.13
854	91.2
855	91.13
856	91.32
857	91.12
858	91.19
859	91.3
860	91.1
861	91.12
862	91.24
863	91.13
864	91.17
865	91.17
866	91.16
867	91.16
868	91.27
869	91.11
870	91.17
871	91.16
872	91.15
873	91.27
874	91.13
875	91.1
876	91.17
877	91.2
878	91.07
879	91.18
880	91.3
881	91.09
882	91.18
883	91.08
884	91.05
885	91.14
886	91.14
887	91.13
888	91.12
889	91.15
890	91.19
891	91.12
892	91.19
893	91.28
894	91.19
895	91.24
896	91.1
897	91.16
898	91.12
899	91.17
900	91.07
901	91.15
902	91.15
903	91.25
904	91.12
905	91.22
906	91.28
907	91.19
908	91.19
909	91.12
910	91.17
911	91.11
912	91.23
913	91.36
914	91.19
915	91.27
916	91.25
917	91.19
918	91.21
919	91.15
920	91.23
921	91.2
922	91.07
923	91.14
924	91.16
925	91.25
926	91.26
927	91.13
928	91.13
929	91.25
930	91.12
931	91.21
932	91.33
933	91.14
934	91.17
935	91.08
936	91.1
937	91.23
938	91.17
939	91.15
940	91.2
941	91.23
942	91.24
943	90.98
944	91.19
945	91.23
946	91.22
947	91.09
948	91.2
949	91.24
950	91.16
951	91.16
952	91.19
953	91.02
954	91.13
955	91.22
956	91.27
957	91.17
958	91.11
959	91.23
960	91.09
961	91.29
962	91.19
963	91.17
964	91.22
965	91.15
966	91.29
967	91.18
968	91.17
969	91.14
970	91.09
971	91.1
972	91.12
973	91.07
974	91.31
975	91.16
976	91.23
977	91.3
978	91.25
979	91.15
980	91.08
981	91.21
982	91.05
983	91.22
984	91.07
985	91.4
986	91.12
987	91.21
988	91.22
989	91.23
990	91.19
991	91.06
992	91.29
993	91.15
994	91.16
995	91.18
996	91.15
997	91.35
998	91.09
999	91.29
1000	91.13
